,FEvals,Fitness,Iteration,Temperature,Time,max_iters
153,270.0,5.0,153,5,0.06045966000237968,2048
154,271.0,5.0,154,5,0.060576664000109304,2048
155,273.0,5.0,155,5,0.060724659997504205,2048
156,274.0,5.0,156,5,0.06085070699919015,2048
157,276.0,7.0,157,5,0.06099730300047668,2048
158,278.0,7.0,158,5,0.06114439300290542,2048
159,279.0,7.0,159,5,0.061263187002623454,2048
160,281.0,7.0,160,5,0.061412490998918656,2048
161,282.0,7.0,161,5,0.061531872997875325,2048
162,284.0,7.0,162,5,0.061680576000071596,2048
163,285.0,7.0,163,5,0.0618063779984368,2048
164,287.0,7.0,164,5,0.06196569200255908,2048
165,288.0,7.0,165,5,0.062087611004244536,2048
166,290.0,9.0,166,5,0.06223568999848794,2048
