,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
75,512,483.0,49062,3.900009000000182,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.6,2048
76,1024,483.0,49062,3.900009000000182,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.6,2048
77,2048,483.0,49062,3.900009000000182,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",200,0.6,2048
78,0,298.0,300,0.010552699999834658,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",300,0.4,2048
79,1,370.0,602,0.0507010999999693,"[2, 4, 1, 4, 3, 2, 3, 4, 0, 0, 2, 4, 0, 4, 4, 4, 3, 3, 3, 3]",300,0.4,2048
80,2,407.0,904,0.08946849999983897,"[4, 4, 1, 2, 4, 0, 3, 4, 0, 1, 2, 4, 4, 4, 4, 4, 3, 3, 1, 4]",300,0.4,2048
81,4,420.0,1507,0.1485482000000502,"[4, 2, 1, 2, 3, 4, 3, 4, 1, 2, 3, 4, 4, 4, 3, 4, 4, 1, 1, 4]",300,0.4,2048
82,8,443.0,2713,0.2611329999999725,"[4, 3, 3, 4, 4, 4, 3, 1, 0, 1, 3, 4, 4, 4, 3, 4, 4, 4, 2, 3]",300,0.4,2048
83,16,468.0,5125,0.4599911999998767,"[3, 4, 1, 4, 4, 4, 4, 3, 0, 1, 3, 4, 4, 4, 4, 4, 4, 4, 2, 4]",300,0.4,2048
84,32,483.0,9947,0.8320952999999918,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.4,2048
85,64,483.0,19579,1.5710850000000391,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.4,2048
86,128,483.0,38843,3.0478189999998904,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.4,2048
87,256,483.0,70147,5.810089500000004,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.4,2048
88,512,483.0,70147,5.810089500000004,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.4,2048
