,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
41,2,458.0,604,0.3309110000000146,"[4.0, 4.0, 0.0, 4.0, 3.0, 2.0, 4.0, 4.0, 2.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 2.0, 4.0]",False,200,0.25,2048
42,4,468.0,1007,0.6939472999999907,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 0.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
43,8,471.0,1813,1.335137700000132,"[4.0, 4.0, 0.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0]",False,200,0.25,2048
44,16,474.0,3422,2.6137178999999833,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
45,32,474.0,6638,5.210049499999968,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
46,64,474.0,13070,11.448036799999954,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
47,128,474.0,25934,22.74518790000002,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
48,256,474.0,42416,37.183854999999994,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
49,512,474.0,42416,37.183854999999994,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
50,1024,474.0,42416,37.183854999999994,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
