,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
75,512,406.0,1655,1.5320730000000005,"[4, 4, 1, 4, 4, 3, 2, 4, 3, 2, 3, 1, 4, 1, 1, 4, 4, 4, 4, 4]",25,2048,5
76,1024,406.0,1655,1.5320730000000005,"[4, 4, 1, 4, 4, 3, 2, 4, 3, 2, 3, 1, 4, 1, 1, 4, 4, 4, 4, 4]",25,2048,5
77,2048,406.0,1655,1.5320730000000005,"[4, 4, 1, 4, 4, 3, 2, 4, 3, 2, 3, 1, 4, 1, 1, 4, 4, 4, 4, 4]",25,2048,5
78,0,323.0,1655,1.5462194999999994,"[2, 4, 4, 2, 3, 4, 4, 3, 4, 2, 2, 3, 0, 3, 2, 4, 3, 1, 0, 0]",25,2048,6
79,1,323.0,1656,1.5631127000000014,"[2, 4, 4, 2, 3, 4, 4, 3, 4, 2, 2, 3, 0, 3, 2, 4, 3, 1, 0, 0]",25,2048,6
80,2,323.0,1657,1.5804094000000006,"[2, 4, 4, 2, 3, 4, 4, 3, 4, 2, 2, 3, 0, 3, 2, 4, 3, 1, 0, 0]",25,2048,6
81,4,323.0,1659,1.5988220999999996,"[2, 4, 4, 2, 3, 4, 4, 3, 4, 2, 2, 3, 0, 3, 2, 4, 3, 1, 0, 0]",25,2048,6
82,8,369.0,1665,1.6170441999999987,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 0]",25,2048,6
83,16,369.0,1673,1.6379416000000013,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 0]",25,2048,6
84,32,405.0,1690,1.671008399999998,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 4]",25,2048,6
85,64,405.0,1722,1.7218984000000006,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 4]",25,2048,6
86,128,405.0,1786,1.815997799999998,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 4]",25,2048,6
87,256,405.0,1890,1.9635062999999988,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 4]",25,2048,6
88,512,405.0,1890,1.9635062999999988,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 4]",25,2048,6
89,1024,405.0,1890,1.9635062999999988,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 4]",25,2048,6
90,2048,405.0,1890,1.9635062999999988,"[2, 4, 4, 3, 3, 4, 4, 3, 4, 2, 2, 3, 4, 3, 2, 4, 3, 1, 0, 4]",25,2048,6
91,0,264.0,1890,1.9821826999999992,"[1, 2, 2, 1, 0, 4, 4, 3, 4, 1, 2, 4, 2, 2, 1, 2, 2, 3, 2, 0]",25,2048,7
92,1,264.0,1891,2.0028115,"[1, 2, 2, 1, 0, 4, 4, 3, 4, 1, 2, 4, 2, 2, 1, 2, 2, 3, 2, 0]",25,2048,7
